"id","waterpurifier_name","price","original_price","rating","filtration_capacity"
12,"Aquaguard Delight NXT 6 L RO + UV + UF Water Purifier | 6-Stage Purification | Suitable for all - Bore...","9,399","18,000","4.1","1 year comprehensive domestive warranty"
13,"Grand plus RO+UV+UF+TDS+COPPER WATER PURIFIER 14 L RO + UV + UF + TDS + Copper Water Purifier","3,799","16,500","4","Filtration Capacity: 14 L/hr"
14,"Aquaguard Delight NXT 6 L RO + UV Water Purifier | 5-Stage Purification | Suitable for all - Borewell,...","8,399","14,000","4.1","1 year comprehensive warranty on all parts excluding consumables"
15,"NATIVE By Urban Company M1 Copper | Needs no service for 2 years | 10-stage filtration | 8 L RO + UV +...","13,999","18,999","4.4","Filtration Capacity: 20 L/hr"
16,"MarQ by Flipkart Titanium Special Blue India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF ...","5,499","16,500","3.9","Filtration Capacity: 8 L/hr"
17,"Aquagrand NINE SMART LED Display Model 12 L RO + UV + UF + TDS Water Purifier","4,799","14,500","3.9","Filtration Capacity: 12 L/hr"
18,"Always Aqua with LED display & Pre filter 12 L RO + UV + UF + TDS + ALK + Copper Water Purifier","5,490","15,500","4.2","Filtration Capacity: 15 L/hr"
19,"Aquaguard Delight NXT 6 L UV + UF Water Purifier | 5-Stage Purification | Suitable only for Municipali...","7,499","11,500","4.1","1 year comprehensive warranty on all parts excluding consumables"
20,"Aqua Fresh New EPICAQUA ADJUSTER 15 L RO + UV + UF + ATDS Water Purifier","4,299","16,500","4","Filtration Capacity: 15 L/hr"
21,"Grand plus SMOKE TPT SWIFT 14 L RO + UV + UF + TDS + ALK + Copper Water Purifier","3,999","16,500","4.2","Filtration Capacity: 14 L/hr"
22,"Pureit Advanced Plus 7 L RO + MF + MP Water Purifier Suitable for all - Borewell, Tanker, Municipality...","6,999","11,399","4.5","Filtration Capacity: 12 L/hr"
23,"Kinsco Aqua Flame 18 Litre Copper RO 18 L RO + UV + UF + TDS + Copper Water Purifier","4,299","20,000","4.2","Filtration Capacity: 15 L/hr"
24,"LIVPURE LIV-PEP-PRO+ 7 L RO + UV + TDS Water Purifier","8,889","14,990","4.3","1 Year Manufacturer Domestic Warranty.Technician Visit"
25,"Aqua Fresh EPICAQUA++Needs no service for 2 years Unconditional Warranty 15 L RO + UV + CU Guard + Alk...","6,299","16,500","4","Filtration Capacity: 12 L/hr"
26,"Aqua Fresh FUSION COV B COPPER+RO+UV+TDS AUTOMATIC ELECTRICAL BOREWELL BEST 12 L RO + UV Water Purifie...","3,899","13,999","3.9","Filtration Capacity: 12 L/hr"
27,"proven Water Purifier with Copper Charge Technology black & copper(Made In India) 12 L RO + UV + UF + ...","5,499","19,990","4.2","Filtration Capacity: 12 L/hr"
28,"KENT ACE - B 8 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality W...","12,649","22,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase with 3 Years Extended Service without Any Charges"
29,"LIVPURE LIV-PEP-STAR-COPPER 7 L RO + UV + UF + Minerals + Copper Water Purifier","9,999","17,490","4","1 Year Warranty"
30,"Aqua Active Xtreme 9 L RO + UV + UF + IBT + Alkaline Water Purifier","8,053","24,000","4","Filtration Capacity: 20 L/hr"
31,"Aqua Fresh NILE black LED ZINC+COPPER+BIO+RO+UV+UF+TDS electric borewell/Municiple 10 L RO + UV + UF +...","5,299","19,999","3.6","Filtration Capacity: 12 L/hr"
32,"HAVELLS Aquas 7 L RO + UF Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","7,499","15,999","4.1","1 Year Warranty"
33,"NATIVE By Urban Company M2 | Needs no service for 2 years | 10-stage Purification 8 L RO + UV + UF + T...","17,199","24,999","4.4","Filtration Capacity: 20 L/hr"
34,"NATIVE By Urban Company M1 | Needs no service for 2 years | 9-stage Purification 8 L RO + UV + UF + TD...","13,499","17,999","4.4","Filtration Capacity: 20 L/hr"
35,"Aqua Fresh MINERAL POT BLUE 16 L Gravity Based Water Purifier","918","2,999","3.8","N/A"
36,"Aqua Active Misty RO+UV+TDS Controller 10 L RO + UV Water Purifier","7,999","29,999","4.1","Filtration Capacity: 14 L/hr"
37,"Aqua Fresh Omega audi Needs no service for 3 years Unconditional Warranty 12 L RO + UV + UF + TDS + AL...","8,999","16,500","4","Filtration Capacity: 12 L/hr"
38,"MarQ by Flipkart Innopure Crux 15 L RO + UV + UF + Copper Water Purifier with Pre filter and BIS Certi...","4,199","16,500","4","Filtration Capacity: 12 L/hr"
39,"AQUA Fresh Skyland Model 18 L RO + UV + UF + TDS + Alkaline Water Purifier","3,969","17,500","4.1","Filtration Capacity: 18 L/hr"
40,"Kinsco Aqua Seven Copper Zinc and Alkaline(Power of 3) 15 L RO + UV + UF + Copper Guard + pH enhancer ...","3,999","20,000","4.3","1 Year Warranty on Electrical items"
41,"Always Pure Natural Alkaline 7 stage UV Without RO 15 L UV + UF + Minerals + Copper Water Purifier","2,499","9,999","3.9","Filtration Capacity: 90 L/hr"
42,"Aquagrand SkyLand 18 Ltr  Water Purifier 18 L RO + UV + UF + TDS Water Purifier","3,989","14,500","3.9","Filtration Capacity: 18 L/hr"
955,"COMPTY Vitara 15 L RO + UV + UF + ATDS Water Purifier","3,799","14,999","5","Filtration Capacity: 12 L/hr"
43,"Aqua Fresh Glam Edition 1 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + U...","5,499","16,500","4.2","Filtration Capacity: 8 L/hr"
44,"Blue Star Opulus 8 L RO + UV + UF + IBT + Alkaline Water Purifier Suitable for all - Borewell, Tanker,...","9,399","21,900","4.1","Filtration Capacity: 15 L/hr"
45,"Pureit Max Water Saver 10 L RO + UV + MF Water Purifier 60% Water Saving, Suitable for all - Borewell,...","12,999","22,500","4.4","Filtration Capacity: 24 L/hr"
46,"proven Zinc Copper Alkaline Hydrogen RO With 12 L RO + UV + UF + Copper + TDS Control Water Purifier","5,549","19,990","4.2","One year warranty for electrical parts"
47,"AQUA AQ- aquagand best water purifier RO. UV. UF. TDS. MINIRALS. 12ltrs tank. abs plastik. pree filter...","3,819","12,900","3.6","Filtration Capacity: 15 L/hr"
48,"KENT Ace Lite 8 L RO + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","11,849","19,000","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
49,"MarQ by Flipkart Innopure Minerals Swift 10 L UV + UF + Copper Water Purifier with Prefilter","2,799","9,999","3.7","Filtration Capacity: 8 L/hr"
50,"MarQ by Flipkart Black Storm Ciaz 15 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifier...","4,199","16,500","3.9","Filtration Capacity: 12 L/hr"
51,"MarQ by Flipkart IBlck Crux I Needs no service for 3 years Unconditional Warranty 12 L RO + UV + UF + ...","8,613","16,500",NULL,"Filtration Capacity: 12 L/hr"
52,"Aquaguard Ritz 5.5 L RO + UV + MTDS + SS Water Purifier | Stainless Steel Tank | Upto 60% Water Saving...","17,799","27,000","4.1","1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit"
53,"AO Smith Z9 10 L RO Water Purifier Silver Charged Membrane Tech) Water Purifier Black | Hot + Normal W...","25,199","31,850","4.4","Filtration Capacity: 15 L/hr"
54,"LIVPURE LIV-GLITZ 7 L UV + UF Water Purifier","7,499","9,490","4","Filtration Capacity: 60 L/hr"
55,"Always Swift 15L 15 L RO + UV + UF + TDS + Alkaline Water Purifier","3,611","13,500","4.2","1 Year Offsite Manufacture Warranty ON SMPS AND MOTOR .Warranty will be void on self installation of RO."
56,"Aqua Fresh Swift_RO_UV_UF_TDS 12 L RO + UV + UF + TDS Water Purifier with Prefilter","4,066","8,999","4.3",NULL
57,"Aqua Ultra C11D 9 L RO Water Purifier","3,935","13,500","3.9","Filtration Capacity: 15 L/hr"
58,"KENT GRAND STAR 9 L RO + UV + UF + TDS Control + UV in Tank Water Purifier Suitable for all - Borewell...","19,249","23,000","4.4","1 Year Warranty + 3 Years free service"
59,"Aqua Fresh Omega Audy+Ro+Uv+Uf+Tds+mineral 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","3.9","Filtration Capacity: 10 L/hr"
60,"Grand plus GP PORT 15 L 15 L Gravity Based Water Purifier","1,049","2,999","3.6","ONLY MANUFACTURER"
61,"Always Steelguard RO with Stainless Steel Tank with LED display and Pre filter 10 stage 7 L RO + UV + ...","7,649","24,999","4.2","Filtration Capacity: 15 L/hr"
62,"AO Smith X2 5 L UV + UF Water Purifier 5-Stage Purification| Digital Display| Advanced Alert Tech| Wal...","9,199","12,200","4","Filtration Capacity: 30 L/hr"
63,"LIVPURE Allura Premia - No Service Cost for 2.5 years - All Filters Included 7 L RO + UV + UF + TDS + ...","16,490","25,990","4.3","Filtration Capacity: 20 L/hr"
64,"LIVPURE LIV-GLO-STAR-BLACK 7 L RO + UV + UF + Minerals Water Purifier","8,599","16,490","3.9","Filtration Capacity: 15 L/hr"
65,"KENT GOLD (11014) 20 L Gravity Based + UF Water Purifier","2,439","3,200","4","Filtration Capacity: 20 L/hr"
66,"Pureit by HUL Wave Plus 7 L RO + UV + Minerals Water Purifier Suitable for all - Borewell, Tanker, Mun...","7,499","13,499","4.4","1 Year Warranty"
67,"MarQ by Flipkart Innopure Black Soltos India 1st BIS (IS 16240 :2023) CM/L8100159306 12 L RO + UV + UF...","4,199","16,500","4.2","Filtration Capacity: 12 L/hr"
68,"Pureit by HUL ULTIMA MINERAL 10 L RO + UV + MF Water Purifier Suitable for all - Borewell, Tanker, Mun...","10,999","20,500","4.3","Filtration Capacity: 15 L/hr"
69,"KENT MAXX (11013) 7 L UV + UF Water Purifier","7,998","10,000","4","Filtration Capacity: 60 L/hr"
70,"MarQ by Flipkart Glam Edition India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF + TDS + A...","5,499","16,500","3.9","Filtration Capacity: 8 L/hr"
71,"Always PURE & NATURAL Copper UV Without RO + 15 L UV + UF + Alkaline Water Purifier","2,469","9,999","3.5","Filtration Capacity: 90 L/hr"
72,"Sure from Aquaguard by Eureka Forbes Desire NXT 6 L UV + UF Water Purifier","10,700","11,500","4","Filtration Capacity: 36 L/hr"
73,"Aquagrand TRENDY & CLASSIC DESIGN Model 13 L RO + UV + UF + TDS Water Purifier","5,199","15,000","4.4","Filtration Capacity: 13 L/hr"
74,"Always Gravity Water Purifier Non-Electric 15LStorage White 15 L Gravity Based Water Purifier","1,599","1,999","4.1","1 Year on Manufacturing Defect only(offsite)."
75,"Home-pro Stainless Steel Water Filter | Non Electric | Long Ceramic Candle 2 | 18 L Gravity Based Wate...","1,279","3,918","3.9","Filtration Capacity: 1 L/hr"
76,"Always Steelguard RO with Stainless Steel Tank with LED display and Pre filter 9 stage 7 L RO + UV + M...","7,109","24,999","4.2","Filtration Capacity: 15 L/hr"
77,"MarQ by Flipkart BePure Bronze 16 L Gravity Based + UF Water Purifier","1,699","2,999","3.9",NULL
78,"Grand plus AQUA AUDT AT 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","10,500","4.1","Filtration Capacity: 12 L/hr"
79,"LIVPURE Allura - No Service Cost for 2.5 years - All Filters Included 7 L RO + UV + Copper Water Purif...","14,490","23,490","4.3","Filtration Capacity: 20 L/hr"
80,"Aquatec Plus Advance plus 12 L RO + UV + UF + TDS Water Purifier","7,236","15,999","4.3","Filtration Capacity: 15 L/hr"
81,"MarQ by Flipkart Glam Edit White India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV + UF + TDS ...","5,499","16,500","3.9","Filtration Capacity: 8 L/hr"
82,"KENT Gold Optima (11016) 10 L Gravity Based + UF Water Purifier","1,750","1,900","3.8","Not Applicable"
83,"AO Smith UTC X5+ 6 L RO Water Purifier RO + Min-Tech (Mineraliser Technology)|6-Stages of Purification...","15,999","21,100","4.2","Filtration Capacity: 15 l/hr"
84,"Home-pro Stainless Steel Water Filter | Non Electric | Long Ceramic Candle 3 | 24 L Gravity Based Wate...","1,599","4,776","3.9","Filtration Capacity: 1 L/hr"
85,"HAVELLS Gracia Alkaline Fab 6.5 L RO + UV + Alkaline Water Purifier Suitable for all - Borewell, Tanke...","18,998","37,000","4.1","1 Year Warranty"
86,"Grand plus AG 16 L Port 16 L Gravity Based Water Purifier","999","2,999","3.6",NULL
87,"AquaDpure RO Water Purifier Alkaline with Pre Filter & Aqua Copper 12 L RO + UV + UF + Copper + TDS Co...","4,949","24,999","3.9","Filtration Capacity: 12 L/hr"
88,"MarQ by Flipkart Aqua Neon White 12 L RO + UV + UF + TDS + ALK + Copper Water Purifier with Pre filter...","3,799","16,500","3.6","Filtration Capacity: 10 L/hr"
89,"Pureit Revito 7 L RO + MF + UV in Tank + Minerals Water Purifier Suitable for all - Borewell, Tanker, ...","15,990","25,999","4.4","Filtration Capacity: 28 L/hr"
90,"BePURE HNC 5G Hot and Cold 9 L RO + UV + UF + TDS + Alkaline Water Purifier","15,999","24,999","4.1","Filtration Capacity: 15 L/hr"
91,"AquaDpure Water Purifier With Active Copper + Alkaline RO+UV+UF+TDS Water Filter for Home 12 L RO + UV...","4,949","15,999","4.1","Filtration Capacity: 12 L/hr"
92,"MarQ by Flipkart BBD SPECIAL BLK STM SWIFT 8 L RO Water Purifier with BIS Certification","2,876","9,999","3.5","Filtration Capacity: 8 L/hr"
93,"Aquaguard Glory 6 L RO + UV + MTDS Water Purifier Suitable for all - Borewell, Tanker, Municipality Wa...","13,999","22,000","4.3","Filtration Capacity: 15 L/hr"
94,"Eureka Forbes Aquaguard Vista (UV+) Water Purifier with UV e-boiling, Mineral Guard technology","7,999","10,500","4.2","Filtration Capacity: 60 L/hr"
95,"Aqua Fresh New EPICAQUA ADJUSTER 15 L RO + UV + UF + ATDS Water Purifier","3,999","16,500","4","Filtration Capacity: 15 L/hr"
96,"BePURE Novo Copper+ Hot and Normal 9 L RO + UV + UF + TDS + Alkaline Water Purifier","9,899","24,999","3.9","Filtration Capacity: 15 L/hr"
97,"Aquafresh STAR GOLDEN BLACK AUDI 12 L RO + UV + UF + TDS Water Purifier with Prefilter","4,999","16,500","4","Filtration Capacity: 12 L/hr"
98,"V-Guard Zenora RO+UV+MB 7 L RO + UV + MB Water Purifier","8,999","16,999","4.3","One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit"
99,"Royal Aquafresh SWIFT 10 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","9,999","4","Filtration Capacity: 12 L/hr"
100,"Grand plus ro uv uf tds+copper 18 ltr water filter 18 L RO + UV + UF + Copper + TDS Control Water Puri...","3,799","16,500","4.1","Filtration Capacity: 14 L/hr"
101,"KENT GRAND STAR 9 L RO + UV + UF + TDS Control + UV in Tank Water Purifier Suitable for all - Borewell...","20,399","21,000","4.4","1 Year Warranty + 3 Years free service"
102,"Aquaguard Blaze Slim RO+UV+MTDS Hot & Ambi 5.8 L RO + UV + MTDS Water Purifier | Dual Stainless Steel ...","22,990","38,000","4.3","1 Year warranty on Manufacturing Defects Only. Consumables are Excluded."
103,"Grand plus Audi 12 L RO + UV + UF + TDS Water Purifier","3,799","16,500","3.6","Filtration Capacity: 4000 L/hr"
104,"Aqua Fresh Titanium Series 1 Years Warranty India 1st BIS (IS 16240 :2023) CM/L8100159306 8 L RO + UV ...","5,499","16,500","4.2","Filtration Capacity: 8 L/hr"
105,"Always Misty Active Copper 10 L RO + UV + UF + TDS + ALK + Copper Water Purifier","5,199","18,000","4.2","1 Year Offsite Warranty: Customer have to call the customer support & register their RO once it is delivered. (A)- 1 Year Warranty on all electricla parts"
106,"MarQ by Flipkart AUDY Smart Edifying 15 L RO + UV + UF + TDS + ALK + Copper Water Purifier with Pre fi...","4,199","16,500","3.7","Filtration Capacity: 12 L/hr"
107,"MarQ by Flipkart Innopure Audi 15 L RO + UV + UF + TDS + Copper Water Purifier with Pre filter and BIS...","4,199","16,500","4","Filtration Capacity: 10 L/hr"
108,"Blue Star Cresto 7 L RO + UV + UF Water Purifier Suitable for all - Borewell, Tanker, Municipality Wat...","9,999","14,900","3.5","1 Year Warranty"
109,"MarQ by Flipkart Innopure Opel 18 L RO + UV + UF + TDS + Copper Water Purifier with Pre filter and BIS...","4,199","16,500","4","Filtration Capacity: 10 L/hr"
110,"MarQ by Flipkart IQUE COPPER ALKALINE 14 L Needs no service for 3 years Unconditional Warranty 14 L RO...","9,999","16,500","3.8","Filtration Capacity: 14 L/hr"
111,"AQUA SAGE LED Display With Copper Filter 15 L RO + UV + UF + Copper + TDS Control Water Purifier","3,955","15,500","3.7","Filtration Capacity: 15 L/hr"
112,"HAVELLS FAB 7 L RO + UV Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","8,998","18,918","4.1","1 Year Warranty"
113,"MarQ by Flipkart AQUA MINI TPT SMOK SWIFT 14 L RO + UV + UF + TDS + ALK + Copper Water Purifier with P...","4,199","16,500","4","Filtration Capacity: 10 L/hr"
114,"LIVPURE LIV-PEP-PRO-TOUCH 8.5 L RO + UV + UF Water Purifier","12,499","19,999","4","1 Year Warranty"
115,"KENT GRAND STAR 9 L RO + UF + UV + UV_LED + TDS Control Water Purifier","19,500","21,500","4.3","3 year Extended service Warranty"
116,"Always Misty Active Copper 10 L RO + UV + Minerals + Alkaline Water Purifier","5,199","18,000","3.6","1 Year Offsite Warranty: Customer have to call the customer support & register their RO once it is delivered. (A)- 1 Year Warranty on all electricla parts"
117,"Grand plus Golden Audy 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","4.1","Filtration Capacity: 1 L/hr"
118,"Keel COPPER AUDI 10 L RO + UV + UF + TDS + Copper Water Purifier with Prefilter","3,999","16,500","3.7","Filtration Capacity: 10 L/hr"
119,"Aqua Fresh Immense Audy 18 L RO + UV + UF + TDS + Mineral Water Purifier","4,169","16,500","4","Filtration Capacity: 18 L/hr"
120,"Peore Pro Plus - 20  Water Purifier | Self Service Mode 7.5 L NF + UV Water Purifier","14,499","22,999","4.8","Filtration Capacity: 25 L/hr"
121,"R.K. AQUA FRESH INDIA Swift Plus 12 Ltrs 14stage 12 L RO + UV + UF Water Purifier","4,589","15,999","4","Filtration Capacity: 10 L/hr"
122,"Aquaguard Copper EDEN 5 L RO + UV + MTDS + SS (AS) Water Purifier","36,500",NULL,"4.8","1 Year Comprehensive Domestic Warranty"
123,"Grand plus AUDI 10 L RO + UV + UF + TDS Water Purifier","3,799","16,500","3.6","Filtration Capacity: 1 L/hr"
124,"AQUA Epic 15 L RO + UV + UF + TDS Water Purifier","3,795","14,500","4.4","Filtration Capacity: 15 L/hr"
125,"Aquagrand Black Audi purify Mineral+ro+uv+uf+tds 15 L 12 L RO + UV + UF + TDS Water Purifier","3,752","14,500","4","Filtration Capacity: 10 L/hr"
126,"Aqua Fresh AquaXopel white 18 ltr + Water Filter 18 L RO + UV + UF + TDS Water Purifier with Prefilter","4,119","16,500","4","Filtration Capacity: 20 L/hr"
127,"V-Guard Rejive 6.5 L UV + UF Water Purifier","7,799","13,349","3.7","Filtration Capacity: 30 L/hr"
128,"MarQ by Flipkart Innopure Black Soltos India 1st BIS (IS 16240 :2023) CM/L8100159306 12 L RO + UV + UF...","4,199","16,500","4.2","Filtration Capacity: 12 L/hr"
129,"LIVPURE LIV-BOLT+ COPPER(RO+UF+MIN) 7 L RO + UF + Minerals + Copper Water Purifier","12,503","15,990","4.3","Filtration Capacity: 15 L/hr"
130,"Royal Aquafresh NEW EPIC 15 L RO + UV + UF + TDS Water Purifier","3,799","16,500","4.4","Filtration Capacity: 15 L/hr"
131,"Aquaultra Pro-Black 10 L RO + UV + UF + Minerals + Alkaline Water Purifier","4,090","15,500","3.9","12-month manufacturer warranty starts from date of dispatch"
132,"Pureit Copper UV Water Purifier Suitable only for Municipality Water Supply","8,999","14,499","4.1","Filtration Capacity: 114 L/hr"
133,"V-Guard Zenora 7 L RO + UV + MB Water Purifier","8,949","16,649","4.3","One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit"
134,"Hindware Elara Copper+ 7 L RO + UV + UF + Minerals Water Purifier Suitable for all - Borewell, Tanker,...","6,949","15,999","3.9","Filtration Capacity: 12 L/hr"
135,"Aquagrand NINE SMART LED Display Model 12 L RO + UV + UF + TDS Water Purifier","4,799","14,500","3.9","Filtration Capacity: 12 L/hr"
136,"KENT ELEGANT LITE 8 L RO + UF + TDS Water Purifier","13,999","22,500","4.4","Filtration Capacity: 15 L/hr"
137,"Royal Aquafresh SERIESXCAMRY 6 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","3,999","16,500","4.6","Filtration Capacity: 6 L/hr"
138,"BePURE 4G pH Hot and Cold 9 L RO + UV + UF + TDS + Alkaline Water Purifier with Hot and Cold water fea...","13,499","24,999","4.1","Filtration Capacity: 15 L/hr"
139,"AQUA Mineral Ro Audi 12 L RO + UV + UF + TDS Water Purifier","3,893","14,500","4.2","Filtration Capacity: 12 L/hr"
140,"Aquafresh LX 9968 10 L RO + UV + UF + TDS Water Purifier","4,999","16,500",NULL,"Filtration Capacity: 10 L/hr"
141,"Aquafresh LX 8841 12 L RO + UV + UF + TDS Water Purifier","4,899","16,500",NULL,"Filtration Capacity: 12 L/hr"
142,"Always Filter 18 L Gravity Based + UF Water Purifier","1,599","3,000","4","Filtration Capacity: 15 L/hr"
143,"Aqua Fresh CRYSTAL COPPER ZINC ALKALINE (BIO) HYDROZEN NEGETIVE ORP BOREWELL/ MUNICIPAL 12 L RO + UV +...","3,999","16,999","3.7","Filtration Capacity: 12 L/hr"
144,"AQUA AquaX Sage Smart LED Display With Copper - Alkaline - Zinc 12 L RO + UF + TDS + ALK Water Purifie...","4,099","17,500","4.3","Filtration Capacity: 12 L/hr"
145,"Blair Epic RO UV UF TDS 17 L RO + UV + UF + TDS Water Purifier","3,489","17,690","4.1","Filtration Capacity: 17 L/hr"
146,"BRITA Marella XL 3.5 L Gravity Based Water Purifier","1,998","2,499","4.4","NA"
147,"AQUA SKYLAND Model 18 L ALKALINE INE B12 18 L RO + UV + UF + TDS Water Purifier","3,933","15,999","3.7","Filtration Capacity: 18 L/hr"
148,"MarQ by Flipkart Innopure Aqua 15 L RO + UV + UF + TDS Water Purifier with Pre filter and BIS Certifie...","4,199","16,500","4","Filtration Capacity: 10 L/hr"
149,"Always PURE & NATURAL Copper UV Without RO + 15 L UV + UF + Alkaline Water Purifier","2,469","9,999","3.5","Filtration Capacity: 90 L/hr"
150,"Always Dellpure Copper 9 Stage Purification Water purifier With LED INDICATOR 12 L RO + UV + UF + TDS ...","3,779","16,500",NULL,NULL
151,"Royal Aquafresh WHITE DIMOND 6 L RO + UV + UF + Copper + TDS Control Water Purifier","3,799","16,500",NULL,"Filtration Capacity: 6 L/hr"
152,"g.s. aquafresh SWIFT RO+UV+UF+COPPER+ TDS CONTROLLER 15 L RO + UV + UF + Copper Water Purifier","3,399","12,999","3.9","Filtration Capacity: 12 L/hr"
153,"Always Rolex 12 L  + Active Copper Water Purifier 12 L RO + UV + UF + TDS Water Purifier","3,289","15,500","4.3","Filtration Capacity: 15 L/hr"
154,"AQUA SAGE LED Display With Copper Filter 15 L RO + UV + UF + Copper + TDS Control Water Purifier","3,955","15,500","3.7","Filtration Capacity: 15 L/hr"
155,"proven Zinc Copper Alkaline Hydrogen RO With 12 L RO + UV + UF + Copper + TDS Control Water Purifier","5,549","19,990","4.2","One year warranty for electrical parts"
156,"Kinsco Black Elagant copper+Alkaline With ORP 7 L RO + UV + UF + Copper Guard + pH enhancer Water Puri...","4,099","20,000","4.2","Filtration Capacity: 15 L/hr"
157,"Royal Aquafresh COPPER SWIFT 14 L RO + UV + UF + TDS Water Purifier","3,999","16,500","4.2","NA"
158,"Kinsco Aqua Saffire LED Display With Zinc,Copper and Alkaline 15 L RO + UV + UF + Copper Guard + pH en...","4,299","20,000","3.7","Filtration Capacity: 15 L/hr"
159,"AQUA Pearl Copper+Alkaline Vitamin B12 Filter RO+UV+TDS 7 Stage Purification 12 L RO + UF + UV + UV_LE...","5,400","13,000","4.1","Filtration Capacity: 18 L/hr"
160,"Always AQUA SWIFT COPPER ZINC ALKALINE WITH PREFILTER 15 L RO + UV + UF + Copper + TDS Control Water P...","3,749","13,500",NULL,"1 Year offsite warranty on all   electronic parts"
161,"AQUA fresh Epic Model RO_UV_UF_TDS_Mineral Cartage Filter 12 L RO + UV + UF + TDS Water Purifier","3,839","14,000","4","Filtration Capacity: 15 L/hr"
162,"Keel COPPER AUDI 12 L RO + UV + UF + TDS + Copper Water Purifier","3,999","16,500","4.7","Filtration Capacity: 12 L/hr"
163,"Musky By Aquafresh mineral pot non electric (municipal water purifier) 16 L Gravity Based Water Purifi...","918","2,999","3.7","ONE YEAR OFFSITE WARRANTY ON MANUFACTURING DEFECT. ALL ELECTRONIC PARTS (smps & motor) "
164,"Always Misty 10 L  + TDS + COPPER 10 L RO + UV Water Purifier","5,199","18,000","4.2",NULL
165,"Always Dellpure Zinc Copper 9 Stage Purification Water purifier With LED INDICATOR 12 L RO + UV + UF +...","3,799","16,500","4.5","1 Year Offsite War their RO once it is delivered. (A)- 1 Year W_Customer have to call the customer support & registearranty on all electricla parts"
166,"Aqua Ultra C15 13 L RO + UV + UF Water Purifier","4,363","13,500","4","Filtration Capacity: 15 L/hr"
